temperature_0,temperature_1,package_0,package_1,preservative_0,preservative_1,sterilization_0,sterilization_1,target
0,1,0,2,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,2,1,0,0,1,1,1,1000
0,1,0,2,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,1,1,100
0,1,0,1,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,2,0,1,0,1,0,1,1
0,1,1,0,1,2,0,1,1
0,1,1,0,0,1,0,1,1
0,1,1,0,1,2,0,2,10000
0,1,1,0,0,1,0,2,10000
0,1,1,0,1,2,0,2,100000
0,1,1,0,0,1,0,2,100000
0,1,1,0,0,1,1,1,1000
0,1,1,0,0,1,0,2,10000
0,1,1,0,0,1,0,2,10000
0,1,1,0,0,1,0,1,100
0,1,1,0,1,2,0,1,100
0,1,1,0,0,1,0,1,1
0,1,0,2,0,1,0,1,100
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,1,0,1,2,0,1,100
0,1,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,100
0,1,1,0,0,1,0,1,1000
0,2,0,1,0,1,0,1,1
0,2,0,1,0,2,0,1,100
0,2,0,1,0,2,0,1,100
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,0,2,100
0,2,1,0,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,2,0,2,1,0,0,1,1
0,2,1,0,0,1,0,1,1
1,0,1,0,0,1,0,2,100
1,0,1,0,0,1,0,2,1000
1,0,1,0,0,1,0,2,1000
1,0,1,0,1,1,0,1,1000
1,0,1,0,0,1,0,1,1
0,1,1,0,0,1,0,2,1
0,2,0,2,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,1,0,1,1,1,1,10000
0,1,1,0,0,1,1,1,1
0,2,1,0,1,1,1,0,1000
0,2,1,0,0,1,1,0,100
0,1,1,0,0,1,0,1,100
0,1,0,1,0,1,0,1,1
0,1,0,1,1,1,0,1,100
0,1,0,1,1,2,0,1,1
0,1,0,1,0,2,0,1,100
0,1,0,1,0,1,0,1,1
1,0,1,0,0,1,1,0,10000
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,1,0,1,1,0,1,1
0,2,1,0,1,1,1,0,1000
0,2,1,0,0,1,1,0,100
0,1,0,1,0,2,0,1,100
0,1,0,1,0,2,0,1,1
0,1,0,1,0,1,0,1,1
0,2,1,0,0,1,0,2,1
1,0,1,0,0,1,0,2,10000
1,0,1,0,0,1,0,2,100000
0,1,1,0,0,1,0,2,100000
0,1,1,0,0,1,0,1,10000
0,1,0,2,1,1,0,1,1
0,1,0,2,1,1,1,0,1000
0,2,0,2,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,2,1,0,0,1,0,2,1
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,0,2,100000
0,2,0,2,1,0,0,1,1
0,2,0,2,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,2,0,1,0,1,0,1,1
1,0,1,0,1,2,0,2,1
1,0,1,0,0,1,0,2,100
0,2,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,1,1,0,0,1,0,1,1000
0,1,0,2,0,1,0,1,10000
0,1,1,0,0,1,0,1,1
0,1,0,2,0,1,0,1,100
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,1,1,0,0,1,1,1,1
0,1,1,0,0,1,0,2,1
0,1,1,0,0,1,0,2,1
0,1,1,0,1,2,1,1,1000
0,1,1,0,1,2,0,2,100000
0,1,1,0,0,1,0,1,100
0,2,1,0,0,1,0,1,1
0,1,1,0,1,2,0,1,1000
0,2,1,0,1,2,0,1,1000
0,1,0,1,0,1,0,1,1
0,1,0,1,0,1,0,2,100
0,1,1,0,0,1,0,1,1000
0,1,0,1,1,2,0,1,100
0,1,0,1,0,1,0,1,1
0,1,0,1,1,2,0,1,1
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,2,0,1,0,1,0,1,1
1,0,1,0,0,1,1,1,1000
0,2,1,0,0,1,1,1,100000
0,1,1,0,0,1,1,1,100000
0,1,1,0,1,2,0,1,100
0,1,1,0,0,1,0,1,100
0,1,1,0,0,1,0,1,10000
0,1,1,0,0,1,0,1,10000
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,1,1,10000
0,1,0,1,0,1,0,1,1
0,1,0,1,0,2,0,1,1000
0,1,0,1,0,2,0,1,1000
0,1,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,1,1,2,0,1,1000
0,1,0,1,1,2,0,1,1000
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,1,0,1,2,0,1,100
0,1,0,1,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,2,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,100
0,1,0,1,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,2,0,1,0,1,0,1,1
0,2,1,0,0,1,1,1,1000
0,2,1,0,0,1,1,0,1000
0,2,1,0,0,1,0,1,100
0,2,1,0,1,1,1,0,10000
0,1,1,0,1,1,1,0,100000
1,0,1,0,0,1,0,2,1000
0,2,1,0,0,1,1,1,100
0,2,1,0,0,1,1,0,100
0,2,1,0,0,1,0,1,1
0,2,0,1,0,1,0,1,1
0,2,1,0,1,2,1,1,10000
0,2,1,0,0,1,0,1,100
0,1,0,1,0,2,0,1,1
0,1,0,1,0,1,0,1,1
0,1,1,0,1,1,0,1,100000
0,1,1,0,0,1,0,1,10000
1,0,1,0,1,1,1,0,100000
1,0,1,0,0,2,1,0,1
1,0,1,0,1,2,1,0,1
1,0,1,0,0,1,1,0,1
0,2,1,0,0,1,0,2,1
0,1,1,0,0,1,0,2,1000
0,2,1,0,1,2,0,1,100
0,2,1,0,0,1,0,1,1
0,2,1,0,0,1,1,1,100
0,2,1,0,0,1,1,0,100
0,2,1,0,1,2,1,1,10000
0,2,1,0,1,2,0,1,1000
0,2,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,1000
0,1,1,0,0,1,0,1,1000
0,2,0,1,0,1,0,1,1
0,2,1,0,1,2,1,1,1
0,2,1,0,0,1,1,1,1
0,2,1,0,0,1,0,1,1
0,2,1,0,1,2,0,1,1
0,2,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,2,1,0,0,1,1,0,100
0,2,1,0,1,2,1,0,100
0,2,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,1000
0,1,1,0,0,1,0,1,1000
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,0,2,1000
0,1,0,2,0,1,0,2,10000
0,1,0,2,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,1,1,100
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,100
0,1,0,2,0,1,0,1,100
0,1,0,2,0,1,0,1,100
0,1,0,2,0,1,0,1,100
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,100
0,1,0,2,0,1,0,1,100
0,1,0,2,0,1,0,1,1000
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,1,0,0,2,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,1
1,0,1,0,0,1,0,1,100
1,0,1,0,0,1,0,2,10000
0,2,1,0,0,1,1,1,100000
0,2,1,0,1,1,1,1,100000
0,2,1,0,1,1,1,1,100000
0,2,1,0,1,1,1,1,100000
0,1,1,0,0,1,1,1,100000
0,1,1,0,0,1,1,1,100000
0,2,1,0,0,1,1,1,100000
0,2,1,0,0,1,1,1,10000
0,2,1,0,0,1,1,1,100
0,1,1,0,0,1,0,2,100000
0,1,1,0,0,1,0,2,100000
0,1,1,0,0,1,0,1,100
0,1,0,2,0,1,0,1,1000
0,1,1,0,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,100
0,2,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,1,1,1,0,1,100
0,1,0,1,1,1,0,1,100
0,1,0,1,1,1,0,1,100
0,1,1,0,0,1,0,1,100
0,1,1,0,1,1,0,1,1000
0,1,1,0,0,1,0,1,100
